chunk_id,doc_id,source_filename,title,chunk_index,chunk_text,word_count
DOC01_CH001,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,1,"PART - I

Sr.
Nos. PARTICULARS CHAPTER PAGE(S)

-: iii :-

-: iv :-

APPENDIX  ‘B’
(FORMS)

THE HIGH COURT OF SINDH, KARACHI
No. _______________________ Dated: _______________

N O T I F I C A T I O N
In exercise of the powers c onferred by Article 202 of the
Constitution, read with Section 554 of the Code of Criminal Procedure,
and with the previous sanction of t he Provincial Government, the High
Court of Sindh make the following ru les to regulate the conduct and
procedure of the Criminal Court and Offi cers acting in implementation of
Criminal Justice System.",102
DOC01_CH004,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,4,"1.1 Short Title – These Rules may be cited as “Sindh Criminal Court
Rules 2012”.",15
DOC01_CH005,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,5,"1.2 Application – These Rules shall come into force from the date of
publication in the Official Gazette, and shal l, so far as may be, apply to all
proceedings and matters in all Criminal Courts, Subordinate to the High
Court commenced on or subs equent date, and, so far as may be, to all the
proceedings and matters pending in such Court on that date.",66
DOC01_CH006,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,6,"1.3 Former rules and circulars are annulled – The Sindh Courts
Criminal Circulars and all other rule s and regulations relating to the
matters which are provided for in these rules are hereby annulled.",34
DOC01_CH008,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,8,"2. Definitions – In these rules, unless there is anything repugnant in the
subject or context.
(a) Advocate: includes a partnership of Advocates.
(b) Code: means the Criminal Procedure Code, 1898.
(c) Competent Authority: means the District & Sessions Judge or any
person nominated by him to perform the function of the competent
authority.
(d) Court: means and includes every Criminal Court subordinate
to the High Court.
(e) High Court: means the Sindh High Court and its Benches.
(f) Magistrate: means the Judicial Magistrates and includes Special
Magistrates appointed under Se ction 12 and 14 of the Code.
(g) Penal Code: means the Pakist an Penal Code, 1860.
(h) Prescribed: means prescribed under the Code or under these
Rules. (i) Provincial Government: means Province of Sindh.
(j) Public Prosecutor: means any person appointed under section
492 of the Code and includes any person acting under the direction
of the Public Prosecutor to conduc t a criminal case on behalf of the
State.
(k) Registered Clerk:
means a Clerk of an Advocate registered under
these rules.
(L) Rules: means the Sindh Criminal Court Rules, 2012.
(m) Sessions Division: means the Revenue District or more than one
Revenue Districts as notified in this behalf.",202
DOC01_CH010,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,10,"3.1. The appointment and condition of service of employees working in
the Sessions Court and the Court of Magistrates are governed by the
Rules of Sindh Judicial Service Rules 1992. However in respect of pay, leave, pension and superannuation, and all other matters not expressly
provided for in these rules, the es tablishment of the Sessions Court and
Judicial Magistrate Court shall be governed by such rules as are
applicable to the civil servants of t he provincial Government of Sindh.",81
DOC01_CH011,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,11,"3.2. Court Dress for Judicial Officers and Advocates – (1) All the
Judicial Officers including the Judicial Magistrates shall wear black coat,
white shirt, black tie, white tr ousers and gown, whenever notified.
(2) Lady Judicial Officer shall wear black coat, white shirt, white
shalwar or saree and gown, whenever notified
(3) Advocates when appearing in the C ourt shall wear black coat/black
sherwani, white shirt, black tie, white trouser and gown. Provided that
wearing gown shall be optional. (4) Lady Advocate shall wear Black coat, white shirt, white colour
shalwar or saree and gown. Provi ded that wearing of gown shall be
optional.",104
DOC01_CH012,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,12,"3.3. Court holidays and working hours – The holidays in Sessions
Court shall be observed in accordanc e with the calendar issued by the
High Court of Sindh every year. In addition to the holidays declared by the
High Court two holidays in a year may be observed by the Sessions
Courts declared by the local administration.",57
DOC01_CH013,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,13,"3.4. Court timings – Sessions Court shall observe the following
timings:-
From Monday to Saturday except Friday",17
DOC01_CH014,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,14,08.30 a.m. to 02.00 p.m. Court/o ffice timings (without break),10
DOC01_CH018,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,18,"3.5 Disposal of urgent work on holidays – On holiday a Criminal
Court may dispose of such work of urgent nature like granting bail or
remand or do such other work as ma y with proprietary be done out of
Court and it will not be proper to refuse to do any act or make any order
urgently required merely on the ground of the day being gazetted holiday.",69
DOC01_CH019,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,19,"3.6. The duties and powers of Sheristedars of Sessions Court –
Sheristedars shall perform the fo llowing duties and f unctions :-
(1) to receive cases, appeals and applications; and enter and initial the date of receipt on cases, appeals and applications;
(2) to administer oaths and affirmations to the declarants of affidavits;
(3) to certify copies; and
(4) to certify decisions and orders to the lower Courts;
(5) to sign process not being wa rrant of arrest or order to the
Jailer for the execution, modifica tion or reversal of sentences;
(6) to cancel Court fee stamps; (7) to scrutinize the matter and shall promptly submit after
noting any error of procedure or bar of jurisdiction, limitation or
other laws, or any error for pre liminary order of the Judge or in
Chamber; (8) to be interpreters; (9) to be sealers of their Courts; (10) upon receipt of preliminary or der of rejection or admission
cause sessions appeals and applic ations to be registered in
appropriate register and shall caus e such matters as are admitted
to hearing to be entered for the di sposal on the appointed dates on
the boards of the Court; (11) to keep board of criminal business fixed for hearing. Post copies of the board on the notice board of the Court;",218
DOC01_CH020,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,20,"3.6. The duties and powers of Sheristedars of Sessions Court –

(12) to keep diaries of Sessions cases in the prescribed form and
shall submit them daily at the closure of the proceedings for the
signature of the Judge. Diaries need not be kept of criminal appeals
and miscellaneous appeals but all in terlocutory orders including
orders for adjournment s hall be filed in their proper order in the
proceedings as they are passed by the Judge; (13) to keep such files as may be ordered by the Judge, and shall
be responsible for the safe custody of pending proceedings
entrusted to him including all documents connected therewith;
(14) to be responsible for the safe custody of the property
connected with the proc eedings during the heari ng but shall hand it
at the close of each hearing and at the conclusion of the matter for
safe custody till disposal to the Nazir or if there is no Nazir to the
Record Keeper;
(15) he shall prepare the timely in timation of the dates fixed for
trial of sessions cases for summ oning the witnesse s and where the
accused are in custody to the Superintendent of the prison;
(16) he shall requisitioned the case property, if any, relating to the
trial and obtain from the Nazir or Record Keeper;
(17) He shall prepare list of persons entitled to travelling
expenses or subsistence allowance as a witness; (18) he shall examine all documents produced or offered in evidence and bring to the notice any apparent insufficiency of the
Court fee or other stamps for the orders of the Judge.
(19) in case of trials ending in acquittal or discharge or conviction,
shall he prepare the warrant of rel ease or warrant for execution of
sentence, as the case may be, for the signature of the Judge;
(20) to take orders of the Judge for the disposal of the property
produced in the case and to prepare short description of the case
and of any implements, such as dies or moulds, which may have",343
DOC01_CH021,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,21,"3.6. The duties and powers of Sheristedars of Sessions Court –

been found in the case of counter feit coins for despatch with the
coins to the Government Treasury; (21) all moulds, dies and other instruments produced in the case
shall be returned to the Police concerned. The forged currency note or notes produced in the case to be forwarded to the currency Officer, State Bank of Pakistan for entry in their book and for
destruction; (22) promptly prepare copies of the judgments for communication
to the Home Department and shall a fter the expiry of the period of
appeal or upon decision of the appeal in the case of convicts
sentenced to imprisonment prepare a copy of judgment for the use
of the Superintendent of prison in which the prisoner is confined.
(23) in the case of Cr. Appeal and Revision, cause the
preparation of timely notice of date fixed for hearing for
communication to the appellant, appl icant and public prosecutor or
other Officer appointed by the provincial Government. (24) prepare the necessary warrant s or orders upon delivery of
the appellate or original decis ions and prepare the prescribed
copies of judgments and orders fo r communication to the lower
Court. All such judgments and orders shall be filed in the record of
lower Court. (25) promptly prepare cases ordered to be submitted for
consideration or confirmation fo r despatch to the High Court, and
promptly prepare returns to all wr its and the necessary warrants or
orders on receipt of appellate or re visional orders of the High Court.
(26) to be responsible for t he punctual preparation of all
periodical returns and for this purpose shall maintain a list of all returns either to be received or submitted with their due dates. The
preparation or collection of all returns shall be commenced in
sufficient time before such date to ensure punctuality.

(27) he shall be responsible for the proper paging of the records
of all proceedings and for numberi ng of every tenth line of all
depositions and judgements exceeding fi fty lines in length for ready
reference on appeal or revision.",357
DOC01_CH022,DOC01,01_sindh_criminal_court_rules_2012.txt,Sindh Criminal Court Rules 2012,22,"3.7. The duties and functions of Sheristedars of Magistrates’
Courts – The functions and duties of the Sheristedars of Magistrates are
as following:-
(1) to bring to notice any error of procedure or bar of jurisdiction
in any matter which comes before the Magistrate. (2) to sign process not being wa rrants of arrest or search
warrants and not being warrants or or ders to Jailers for execution,
modification or revers al of the sentence;
(3) to be sealers of their respective Courts;
(4) to fill in the preliminary porti on of diaries in the prescribed
form in cases but body of the diaries shall be kept by the Magistrate
by their own hand or by the Sheris tedars under the instructions of
the Magistrates and shall be signed by him. Note:- (Diaries need not be kept in summary cases which are sufficiently provided for by the fo rm of proceedings prescribed by
law. Diaries may be kept in miscellaneous application and
proceedings under Chapter VIII (B ) of the Code, but all the
interlocutory orders including the or ders for adjournment should be
filed in the proper order in the proceedings as they are passed by
the Magistrates). (5) keep separate files of comp laints dismissed under Section
203 of the Code and of first reports from the Police under Section
154 and 157 of the Code; (6) to be responsible for the safe custody of pending proceedings entrusted to them in cluding all documents connected
therewith.",248
