"config","chunk_strategy","retrieval_mode","query_id","query","answer","faithfulness","relevancy"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q01","What is the definition of Prosecutor under the Sindh Criminal Prosecution Service Act 2009?","The definition of ""Prosecutor"" under the Sindh Criminal Prosecution Service Act 2009 is:

""(l) “Prosecutor” means the Prosecutor General, Additional Prosecutor General, Deputy Prosecutor General, Assistant Prosecutor General, District Public Prosecutor, Deputy District Public Prosecutor, Assistant District Public Prosecutor and a Public Prosecutor appointed under this Act and shall be deemed to be the Public Prosecutor under the Code;""","1.0","0.917"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q02","What are the qualifications required for the appointment of the Prosecutor General?","The qualifications required for the appointment of the Prosecutor General are:

- A citizen of Pakistan
- Permanent residence of the Province of Sindh
- Not less than forty-five years of age
- Either:
  - Has been an Advocate of the High Court for a period of, or periods aggregating, not less than ten years (Context 1 and Context 2)
  - Has performed specific functions and meets certain conditions (Context 2)","0.8","0.821"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q03","What are the duties of Prosecutors under the Sindh Criminal Prosecution Service Act?","The duties of Prosecutors under the Sindh Criminal Prosecution Service Act include:

- Performing their functions and exercising their powers fairly, honestly, with due diligence, in the public interest, and to uphold justice.
- Scrutinizing police reports, including final or interim reports, and processing them under section 9.
- Making entries in the record and registers as may be prescribed.
- Performing such other duties as may be delegated to them by the Prosecutor General Sindh under this ","1.0","0.898"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q04","What are the responsibilities of Police towards Prosecutors under the Act?","The provided context does not contain enough reliable information to answer this question.","0.0","0.016"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q05","How is the Sindh Criminal Prosecution Service established and constituted?","The Sindh Criminal Prosecution Service is established and maintained by the Government, as stated in sections 3 of the Sindh Criminal Prosecution Service Act 2009 (Context 1 and Context 2).","0.667","0.882"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q06","What is the procedure for recording a confession under the Sindh Criminal Court Rules 2012?","The confession shall be recorded in the manner prescribed for recording of evidence, as determined by the Magistrate to be best suited for the circumstances of the case. The confession is to be recorded on the prescribed Form No.1 Appendix 'A'.","1.0","0.677"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q07","How is an identification parade conducted according to the Sindh Criminal Court Rules?","The provided context does not contain enough reliable information to answer this question.","0.0","-0.017"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q08","What rules govern the submission of sentences for confirmation and their execution?","The provided context does not contain enough reliable information to answer this question.","0.0","-0.029"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q09","What are the rules for appeals and revision applications before courts other than the High Court?","The provided context does not contain enough reliable information to answer this question about the rules for appeals and revision applications before courts other than the High Court.","0.0","0.848"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q10","What is the procedure for proceedings against absconders under the Sindh Criminal Court Rules?","The provided context does not contain enough reliable information to answer this question.","0.0","-0.032"
"Legal-Aware + Hybrid + Reranking","Legal-Aware","Hybrid + Reranking","Q11","What amendments were made to the Sindh Criminal Prosecution Service Act in 2014?","The provided context does not contain enough reliable information to answer this question about the amendments made to the Sindh Criminal Prosecution Service Act in 2014.","0.0","0.951"
