"query_id","query","category","answer","faithfulness","relevancy","num_claims","supported_claims","alt_queries","cosine_sims"
"Q01","What is the definition of Prosecutor under the Sindh Criminal Prosecution Service Act 2009?","definition","The definition of ""Prosecutor"" under the Sindh Criminal Prosecution Service Act 2009 is: 

""Prosecutor"" means the Prosecutor General, Additional Prosecutor General, Deputy Prosecutor General, Assistant Prosecutor General, District Public Prosecutor, Deputy District Public Prosecutor, Assistant District Public Prosecutor and a Public Prosecutor appointed under this Act and shall be deemed to be the Public Prosecutor under the Code.","1.0","0.951","11","8","What is the definition of a Prosecutor under the Sindh Criminal Prosecution Service Act 2009?; Who is considered a Public Prosecutor under the Sindh Criminal Prosecution Service Act 2009?; What positions are included in the definition of a Prosecutor under the Sindh Criminal Prosecution Service Act 2009?","[0.997, 0.92, 0.936]"
"Q02","What are the qualifications required for the appointment of the Prosecutor General?","appointment","Based on the provided context, the qualifications required for the appointment of the Prosecutor General are:

1. Being a citizen of Pakistan.
2. Having permanent residence in the Province of Sindh.
3. Being not less than 45 years of age.
4. Having one of the following qualifications:
   - Being an Advocate of the High Court for a period of, or for periods aggregating, not less than 10 years.
   - Being enrolled as an Advocate of the Supreme Court.
   - Having performed the functions of an Addit","0.875","0.81","9","7","What are the age and residency requirements for the position of Prosecutor General in Pakistan?; What are the different qualifications required to be eligible for the position of Prosecutor General?; What is the minimum duration of experience required for a District Public Prosecutor or a Prosecutor in Sindh to be eligible for the position of Prosecutor General?","[0.769, 0.92, 0.742]"
"Q03","What are the duties of Prosecutors under the Sindh Criminal Prosecution Service Act?","duties","The duties of Prosecutors under the Sindh Criminal Prosecution Service Act include:

- Performing their functions and exercising their powers fairly, honestly, with due diligence, in the public interest, and to uphold justice.
- Scrutinizing police reports, including final or interim reports, and processing them under section 9.
- Making entries in the record and registers as may be prescribed.
- Performing such other duties as may be delegated to them by the Prosecutor General Sindh under this ","1.0","0.833","14","8","What are the key principles that guide the actions of Prosecutors under the Sindh Criminal Prosecution Service Act?; What are some of the specific tasks that Prosecutors are required to perform under the Act?; Under the Sindh Criminal Prosecution Service Act, what additional duties may be assigned to Prosecutors by the Prosecutor General Sindh?","[0.868, 0.693, 0.938]"
"Q04","What are the responsibilities of Police towards Prosecutors under the Act?","procedure","The provided context does not contain enough reliable information to answer this question.","0.0","0.046","1","0","What is the capital of a newly formed country with limited information available?; Can you provide the population of a small village with no available data?; What are the primary export products of a country with no economic records?","[0.051, 0.031, 0.055]"
"Q05","How is the Sindh Criminal Prosecution Service established and constituted?","establishment","The Sindh Criminal Prosecution Service is established and maintained by the Government, as stated in sections 3 of the Sindh Criminal Prosecution Service Act 2009 (Context 1 and Context 2).","0.667","0.91","6","4","Who is responsible for establishing and maintaining the Sindh Criminal Prosecution Service?; What document outlines the establishment and maintenance of the Sindh Criminal Prosecution Service?; According to the Sindh Criminal Prosecution Service Act, who is responsible for maintaining the Sindh Criminal Prosecution Service?","[0.931, 0.901, 0.897]"
"Q06","What is the procedure for recording a confession under the Sindh Criminal Court Rules 2012?","procedure","The confession shall be recorded in the manner prescribed for recording of evidence, as deemed best by the Magistrate for the circumstances of the case. The confession shall be signed in the manner provided in Section 364 of the Code.","1.0","0.652","5","5","How should a confession be recorded in court?; What are the requirements for signing a confession in a court case?; How should a Magistrate decide on the method of recording a confession?","[0.699, 0.602, 0.655]"
"Q07","How is an identification parade conducted according to the Sindh Criminal Court Rules?","procedure","The provided context does not contain enough reliable information to answer this question.","0.0","-0.008","1","0","What is the average temperature in Antarctica during the winter months?; Can a human survive on a diet consisting only of pizza?; How many grains of sand are there on the entire planet Earth?","[-0.021, -0.017, 0.015]"
"Q08","What rules govern the submission of sentences for confirmation and their execution?","sentencing","The provided context does not contain enough reliable information to answer this question regarding the rules governing the submission of sentences for confirmation and their execution.","0.0","0.76","1","0","What are the general rules for submitting sentences for confirmation?; Can you explain the process of submitting and executing sentences in this context?; How do the rules governing sentence submission and execution work in this scenario?","[0.834, 0.668, 0.779]"
"Q09","What are the rules for appeals and revision applications before courts other than the High Court?","appeals","The provided context does not contain enough reliable information to answer this question.","0.0","-0.003","1","0","What is the average temperature in Antarctica during winter?; Can a human survive on a diet of only pineapple for a year?; How many moons does the planet Neptune have?","[-0.004, -0.05, 0.045]"
"Q10","What is the procedure for proceedings against absconders under the Sindh Criminal Court Rules?","procedure","The provided context does not contain enough reliable information to answer this question.","0.0","0.034","1","0","What is the average temperature in Antarctica during winter?; Can a human survive on Mars without a spacesuit?; What is the exact date of the first moon landing?","[0.092, -0.007, 0.015]"
